,popularity,id,vote_count,vote_average,title,release_date,original_language,genre_ids,Unnamed: 0,movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
858,15.741,10510,593,6.6,Miracle on 34th Street,1994-11-18,en,"['Fantasy', 'Drama', 'Family']",649,Miracle on 34th Street,1947,Not Rated,39628,96,"Comedy, Drama, Family",88.0,7.9,39306,2.65
859,20.208,853,2275,7.4,Enemy at the Gates,2001-03-14,en,"['Drama', 'War', 'History']",298,Enemy at the Gates,2001,R,215750,131,"Drama, History, War",53.0,7.6,240583,51.40
860,20.77,840,2745,7.4,Close Encounters of the Third Kind,1977-11-18,en,"['Science Fiction', 'Drama']",141,Close Encounters of the Third Kind,1977,PG,75860,138,"Drama, Sci-Fi",90.0,7.6,182366,132.09
861,14.573,10437,549,7.4,The Muppet Christmas Carol,1992-12-10,en,"['Music', 'Comedy', 'Family', 'Fantasy', 'Drama']",401,The Muppet Christmas Carol,1992,G,104940,85,"Comedy, Drama, Family",64.0,7.7,46685,27.28
862,34.451,17654,6699,7.4,District 9,2009-08-05,en,['Science Fiction'],166,District 9,2009,R,1136608,112,"Action, Sci-Fi, Thriller",81.0,7.9,633630,115.65
863,13.398,10234,1070,7.4,Funny Games,1997-05-14,de,"['Drama', 'Horror', 'Thriller']",889,Funny Games,1997,Not Rated,119167,108,"Crime, Drama, Thriller",69.0,7.6,63800,--
864,15.687,8461,1336,6.5,Funny Games,2007-10-20,en,"['Crime', 'Horror', 'Thriller', 'Drama']",889,Funny Games,1997,Not Rated,119167,108,"Crime, Drama, Thriller",69.0,7.6,63800,--
865,28.917,658,2293,7.4,Goldfinger,1964-09-20,en,"['Adventure', 'Action', 'Thriller']",299,Goldfinger,1964,PG,58150,110,"Action, Adventure, Thriller",87.0,7.7,170787,51.08
866,69.514,353081,5413,7.4,Mission: Impossible - Fallout,2018-07-13,en,"['Action', 'Adventure']",71,Mission: Impossible - Fallout,2018,PG-13,4912910,147,"Action, Adventure, Thriller",86.0,7.7,285348,220.16
867,29.967,87827,10313,7.4,Life of Pi,2012-11-20,en,"['Adventure', 'Drama', 'Action']",151,Life of Pi,2012,PG,454876,127,"Adventure, Drama, Fantasy",79.0,7.9,574282,124.99
868,16.796,45317,2988,7.4,The Fighter,2010-12-17,en,['Drama'],197,The Fighter,2010,R,964517,116,"Biography, Drama, Sport",79.0,7.8,336611,93.62
869,18.925,4147,2380,7.4,Road to Perdition,2002-07-12,en,"['Crime', 'Drama', 'Thriller']",181,Road to Perdition,2002,R,257044,117,"Crime, Drama, Thriller",72.0,7.7,243985,104.45
870,14.804,116,2841,7.4,Match Point,2005-10-26,en,"['Drama', 'Thriller', 'Crime', 'Romance']",429,Match Point,2005,R,416320,124,"Drama, Romance, Thriller",72.0,7.6,204281,23.09
871,11.507,429174,482,7.4,Loveless,2017-06-01,ru,['Drama'],749,Loveless,2017,R,6304162,127,Drama,86.0,7.6,29034,0.57
